industry,city,quarter,patent_families
fintech,sg,2017Q3,1
fintech,sg,2017Q4,0
fintech,sg,2018Q1,0
fintech,sg,2018Q2,0
fintech,sg,2018Q3,0
fintech,sg,2018Q4,0
fintech,sg,2019Q1,0
fintech,sg,2019Q2,0
fintech,sg,2019Q3,0
fintech,sg,2019Q4,1
fintech,sg,2020Q1,0
fintech,sg,2020Q2,0
fintech,sg,2020Q3,0
fintech,sg,2020Q4,0
fintech,sg,2021Q1,0
fintech,sg,2021Q2,0
fintech,sg,2021Q3,0
fintech,sg,2021Q4,0
fintech,sg,2022Q1,0
fintech,sg,2022Q2,0
fintech,sg,2022Q3,0
fintech,sg,2022Q4,0
fintech,sg,2023Q1,0
fintech,sg,2023Q2,0
fintech,sg,2023Q3,0
fintech,sg,2023Q4,0
